epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2839,0.70619,3.09971,1.07532,0.50311,0.19609,0.40639,0.37315,0.46831,2.64087,0.83971,0.00028886,0.00028886,0.00028886
2,168.044,0.70573,2.41419,1.03265,0.37045,0.78006,0.53151,0.4912,0.48147,2.19704,0.84975,0.000586887,0.000586887,0.000586887
3,230.545,0.7275,1.88914,1.06972,0.41306,0.67724,0.64436,0.58626,0.45869,2.10996,0.85235,0.000882934,0.000882934,0.000882934
4,298.087,0.73266,1.60144,1.06683,0.66021,0.69009,0.75814,0.6691,0.47775,1.91129,0.87217,0.0011,0.0011,0.0011
5,365.414,0.68717,1.41816,1.0357,0.52245,0.82485,0.81836,0.74196,0.43848,1.99624,0.85936,0.00109633,0.00109633,0.00109633
6,429.248,0.66901,1.17443,1.04785,0.80479,0.84536,0.89254,0.76346,0.4645,1.82987,0.87363,0.00109267,0.00109267,0.00109267
7,508.159,0.63778,1.03819,1.02432,0.83938,0.92693,0.92566,0.80948,0.5322,1.29123,0.96868,0.001089,0.001089,0.001089
8,571.567,0.63838,0.9293,1.02228,0.90603,0.91573,0.94151,0.79699,0.55206,1.20867,0.95234,0.00108534,0.00108534,0.00108534
9,634.343,0.6221,0.90646,1.01299,0.94344,0.88842,0.93562,0.8238,0.52504,1.10814,0.96292,0.00108167,0.00108167,0.00108167
10,700.497,0.60712,0.82599,0.98299,0.95463,0.89034,0.94413,0.85255,0.46708,0.9301,0.8818,0.001078,0.001078,0.001078
11,762.274,0.60477,0.83435,1.01137,0.9422,0.95569,0.95206,0.83239,0.46919,0.83555,0.83435,0.00107434,0.00107434,0.00107434
12,821.446,0.60116,0.80168,0.98606,0.96301,0.95083,0.94954,0.86457,0.40699,0.7518,0.82632,0.00107067,0.00107067,0.00107067
13,888.129,0.56429,0.76774,0.96698,0.95361,0.95162,0.95124,0.87408,0.38247,0.67325,0.80713,0.001067,0.001067,0.001067
14,954.323,0.55858,0.72065,0.98632,0.96753,0.95009,0.94996,0.87853,0.40706,0.6842,0.81894,0.00106334,0.00106334,0.00106334
15,1021.42,0.54477,0.70251,0.96788,0.97754,0.93964,0.95214,0.87884,0.40243,0.67788,0.81131,0.00105967,0.00105967,0.00105967
16,1086.5,0.54388,0.69653,0.96605,0.96525,0.93268,0.94192,0.87442,0.38779,0.67737,0.81258,0.00105601,0.00105601,0.00105601
17,1154.38,0.54684,0.69371,0.97266,0.97706,0.93212,0.94114,0.86091,0.40821,0.64338,0.82884,0.00105234,0.00105234,0.00105234
18,1218.79,0.5415,0.66056,0.95212,0.96597,0.95216,0.94666,0.85932,0.44444,0.67884,0.82796,0.00104867,0.00104867,0.00104867
19,1284.41,0.55937,0.68052,0.96146,0.97783,0.95569,0.9475,0.87106,0.41062,0.64211,0.83134,0.00104501,0.00104501,0.00104501
20,1350.5,0.51195,0.60073,0.9628,0.95947,0.94879,0.94156,0.87794,0.36214,0.56837,0.81644,0.00104134,0.00104134,0.00104134
21,1417.97,0.53206,0.64859,0.96548,0.97946,0.95512,0.94879,0.87684,0.38078,0.58109,0.80914,0.00103767,0.00103767,0.00103767
22,1477.26,0.51021,0.62135,0.95301,0.97079,0.94947,0.94718,0.87626,0.37872,0.56541,0.80589,0.00103401,0.00103401,0.00103401
23,1536.8,0.51759,0.60707,0.945,0.96431,0.94879,0.95272,0.89264,0.36625,0.53337,0.81304,0.00103034,0.00103034,0.00103034
24,1598.81,0.53326,0.60415,0.96413,0.9812,0.95569,0.95041,0.89191,0.35206,0.5124,0.80249,0.00102668,0.00102668,0.00102668
25,1662.56,0.51782,0.58559,0.94976,0.97786,0.95412,0.95234,0.88414,0.39068,0.52852,0.80995,0.00102301,0.00102301,0.00102301
26,1723.82,0.51702,0.59582,0.964,0.9799,0.95569,0.95062,0.89031,0.37032,0.51486,0.80435,0.00101934,0.00101934,0.00101934
27,1783.12,0.50852,0.57046,0.95221,0.9802,0.95569,0.94651,0.87837,0.39861,0.54397,0.81089,0.00101568,0.00101568,0.00101568
28,1849.71,0.54742,0.6255,0.96796,0.96436,0.9468,0.9354,0.87049,0.43604,0.54553,0.83452,0.00101201,0.00101201,0.00101201
29,1909.49,0.51591,0.58229,0.94554,0.97844,0.95297,0.9519,0.87934,0.42158,0.61153,0.84126,0.00100834,0.00100834,0.00100834
30,1971.56,0.53009,0.57246,0.95621,0.97506,0.95407,0.95418,0.8918,0.37752,0.53856,0.81447,0.00100468,0.00100468,0.00100468
31,2032.65,0.49361,0.54264,0.93772,0.97886,0.94677,0.95074,0.88545,0.34756,0.57485,0.81061,0.00100101,0.00100101,0.00100101
32,2099.86,0.48652,0.54529,0.94407,0.9798,0.95569,0.95282,0.8852,0.37079,0.57605,0.81137,0.000997345,0.000997345,0.000997345
33,2164.89,0.48604,0.53735,0.93771,0.96856,0.94879,0.94403,0.88765,0.38678,0.5725,0.81821,0.000993678,0.000993678,0.000993678
34,2226.76,0.50562,0.53846,0.95352,0.97197,0.94422,0.94445,0.87952,0.37713,0.60722,0.82212,0.000990012,0.000990012,0.000990012
35,2286.39,0.48621,0.5329,0.93997,0.98137,0.95569,0.95192,0.88136,0.39967,0.51056,0.82219,0.000986346,0.000986346,0.000986346
36,2355.26,0.4969,0.54125,0.94559,0.97473,0.95008,0.94774,0.8685,0.4089,0.48903,0.8331,0.000982679,0.000982679,0.000982679
37,2414.62,0.5187,0.53546,0.94456,0.98024,0.95569,0.94956,0.88095,0.37467,0.50797,0.81938,0.000979013,0.000979013,0.000979013
38,2484.87,0.49064,0.51936,0.94114,0.96741,0.935,0.94373,0.87961,0.39396,0.53316,0.8348,0.000975347,0.000975347,0.000975347
39,2545.38,0.50435,0.52944,0.94003,0.97898,0.94879,0.94665,0.89288,0.34636,0.4601,0.80091,0.000971681,0.000971681,0.000971681
40,2616.41,0.48886,0.50604,0.92943,0.97964,0.94762,0.94562,0.88425,0.38995,0.45517,0.82448,0.000968014,0.000968014,0.000968014
41,2680.57,0.46395,0.50235,0.92851,0.97373,0.95456,0.95337,0.89837,0.38306,0.46118,0.82248,0.000964348,0.000964348,0.000964348
42,2743.59,0.48086,0.50231,0.93762,0.9781,0.94879,0.94597,0.89093,0.39485,0.48347,0.82799,0.000960682,0.000960682,0.000960682
43,2806.26,0.48537,0.51083,0.93729,0.97762,0.95569,0.95421,0.8942,0.39421,0.49199,0.82016,0.000957015,0.000957015,0.000957015
44,2877.36,0.48356,0.50117,0.92723,0.97094,0.94879,0.95203,0.88798,0.3708,0.46948,0.80757,0.000953349,0.000953349,0.000953349
45,2938.66,0.45382,0.47402,0.92558,0.97514,0.94879,0.94726,0.89103,0.35664,0.46899,0.79792,0.000949683,0.000949683,0.000949683
46,3008.08,0.4746,0.48338,0.92986,0.97477,0.94872,0.94755,0.89275,0.35185,0.45046,0.8026,0.000946016,0.000946016,0.000946016
47,3068.56,0.46422,0.47326,0.92963,0.98197,0.95569,0.94921,0.89309,0.35449,0.44939,0.80351,0.00094235,0.00094235,0.00094235
48,3130.04,0.46242,0.48523,0.94178,0.98219,0.95464,0.95061,0.89644,0.33845,0.45429,0.80223,0.000938684,0.000938684,0.000938684
49,3189.42,0.46885,0.48216,0.93007,0.97101,0.94985,0.94526,0.89311,0.34769,0.43734,0.81181,0.000935018,0.000935018,0.000935018
50,3252.62,0.48646,0.48,0.93636,0.97571,0.96057,0.95333,0.8959,0.39784,0.47209,0.82435,0.000931351,0.000931351,0.000931351
51,3317.09,0.48446,0.48227,0.93189,0.96889,0.94766,0.95098,0.88995,0.37119,0.4689,0.8071,0.000927685,0.000927685,0.000927685
52,3385.9,0.48948,0.49357,0.94094,0.97734,0.94254,0.95178,0.88777,0.36683,0.40208,0.81669,0.000924019,0.000924019,0.000924019
53,3453.06,0.46779,0.47075,0.93814,0.97684,0.95569,0.95118,0.88844,0.37374,0.4223,0.80385,0.000920352,0.000920352,0.000920352
54,3522.3,0.45009,0.4603,0.93713,0.97482,0.9532,0.95024,0.89219,0.38284,0.42364,0.82258,0.000916686,0.000916686,0.000916686
55,3586.64,0.46476,0.47214,0.92814,0.97988,0.9539,0.94798,0.88808,0.38364,0.43322,0.81406,0.00091302,0.00091302,0.00091302
56,3649.23,0.45753,0.46207,0.91242,0.97975,0.95569,0.94883,0.88902,0.39544,0.43142,0.83315,0.000909353,0.000909353,0.000909353
57,3711.23,0.45857,0.4655,0.92692,0.97692,0.95537,0.95,0.88683,0.38119,0.42925,0.82814,0.000905687,0.000905687,0.000905687
